ENSMUSG00000025261|Huwe1
ENSMUSG00000038417|Fig4
ENSMUSG00000038425|Poli
ENSMUSG00000028292|Rars2
ENSMUSG00000038102|Trappc11
ENSMUSG00000058301|Upf1
ENSMUSG00000043183|Simc1
ENSMUSG00000048000|Gigyf2
ENSMUSG00000018846|Pank3
ENSMUSG00000055305|Zfp93
ENSMUSG00000020621|Rdh14
