ENSMUSG00000085950|Gm13589
ENSMUSG00000035704|Alg8
ENSMUSG00000048232|Fbxo10
ENSMUSG00000021485|Mxd3
ENSMUSG00000029003|Mad2l2
ENSMUSG00000047635|2810006K23Rik
ENSMUSG00000046182|Gsg1l
ENSMUSG00000110523|C230057M02Rik
ENSMUSG00000024726|Carnmt1
ENSMUSG00000026163|Sphkap
ENSMUSG00000021986|Amer2
