ENSMUSG00000003348|Mob3a
ENSMUSG00000022365|Derl1
ENSMUSG00000028894|Inpp5b
ENSMUSG00000029513|Prkab1
ENSMUSG00000068328|Aup1
ENSMUSG00000030403|Vasp
ENSMUSG00000030588|Yif1b
ENSMUSG00000032757|Bet1
ENSMUSG00000022255|Mtdh
ENSMUSG00000014856|Tmem208
ENSMUSG00000029780|Nt5c3
