ENSMUSG00000048904|Neurog1
ENSMUSG00000038296|Galnt18
ENSMUSG00000032411|Tfdp2
ENSMUSG00000005917|Otx1
ENSMUSG00000028420|Tmem38b
ENSMUSG00000052512|Nav2
ENSMUSG00000051166|Eml5
ENSMUSG00000022883|Robo1
ENSMUSG00000044933|Sstr3
ENSMUSG00000116508|AL591952.3
ENSMUSG00000097899|Gm16894
