ENSMUSG00000021327|Zkscan3
ENSMUSG00000032468|Armc8
ENSMUSG00000043923|Ccdc84
ENSMUSG00000031545|Gpat4
ENSMUSG00000037933|Bicd2
ENSMUSG00000033623|Pcgf3
ENSMUSG00000031628|Casp3
ENSMUSG00000048330|Ric3
ENSMUSG00000078676|Casc3
ENSMUSG00000027285|Haus2
ENSMUSG00000064302|Clasp1
