ENSMUSG00000017831|Rab5a
ENSMUSG00000031487|Brf2
ENSMUSG00000018999|Slc35b4
ENSMUSG00000034826|Nup54
ENSMUSG00000042502|Cd2bp2
ENSMUSG00000047866|Lonp2
ENSMUSG00000062116|Zfp954
ENSMUSG00000032579|Hemk1
ENSMUSG00000021549|Rasa1
ENSMUSG00000041777|Cir1
ENSMUSG00000022507|1810013L24Rik
