ENSMUSG00000055022|Cntn1
ENSMUSG00000069769|Msi2
ENSMUSG00000031642|Sh3rf1
ENSMUSG00000096188|Cmtm4
ENSMUSG00000049553|Polr1a
ENSMUSG00000051413|Plagl2
ENSMUSG00000003865|Gys1
ENSMUSG00000022994|Adcy6
ENSMUSG00000042564|Fam227a
ENSMUSG00000068742|Cry2
ENSMUSG00000002249|Tead3
