ENSMUSG00000037224|Zfyve28
ENSMUSG00000061981|Flot2
ENSMUSG00000020267|Hint1
ENSMUSG00000020070|Rufy2
ENSMUSG00000026810|Dpm2
ENSMUSG00000032112|Trappc4
ENSMUSG00000020519|Sap30l
ENSMUSG00000013160|Atp6v0d1
ENSMUSG00000034175|Rhbdd3
ENSMUSG00000036046|5031439G07Rik
ENSMUSG00000024283|Wac
