ENSMUSG00000053907|Mat2a
ENSMUSG00000014226|Cacybp
ENSMUSG00000027067|Ssrp1
ENSMUSG00000035754|Wdr18
ENSMUSG00000001383|Zmat2
ENSMUSG00000109324|Prmt1
ENSMUSG00000028138|Adh5
ENSMUSG00000028636|Ppcs
ENSMUSG00000030697|Ppp4c
ENSMUSG00000014769|Psmb1
ENSMUSG00000020368|Canx
