ENSMUSG00000020255|D10Wsu102e
ENSMUSG00000057541|Pus7
ENSMUSG00000060098|Prmt7
ENSMUSG00000018565|Elp5
ENSMUSG00000035890|Rnf126
ENSMUSG00000060708|Bloc1s4
ENSMUSG00000043411|Usp48
ENSMUSG00000024889|Rce1
ENSMUSG00000021484|Lman2
ENSMUSG00000020074|Ccar1
ENSMUSG00000027787|Nmd3
