ENSMUSG00000070923|Klhl9
ENSMUSG00000049804|Armcx4
ENSMUSG00000116883|AC164424.1
ENSMUSG00000026172|Bcs1l
ENSMUSG00000028248|Pnisr
ENSMUSG00000028603|Scp2
ENSMUSG00000049878|Rlf
ENSMUSG00000032740|Ccdc88a
ENSMUSG00000035293|G2e3
ENSMUSG00000045328|Cenpe
ENSMUSG00000028759|Hp1bp3
