ENSMUSG00000029156|Sgcb
ENSMUSG00000042271|Nxt2
ENSMUSG00000033763|Mtss1l
ENSMUSG00000079055|Slc8a3
ENSMUSG00000053846|Lipg
ENSMUSG00000028007|Snx7
ENSMUSG00000039145|Camk1d
ENSMUSG00000054091|1810037I17Rik
ENSMUSG00000035133|Arhgap5
ENSMUSG00000003934|Efnb3
ENSMUSG00000038473|Nos1ap
