ENSMUSG00000028179|Cth
ENSMUSG00000003355|Fkbp11
ENSMUSG00000047407|Tgif1
ENSMUSG00000036904|Fzd8
ENSMUSG00000030083|Abtb1
ENSMUSG00000090626|Tex9
ENSMUSG00000036764|Dnajc12
ENSMUSG00000028576|Ift74
ENSMUSG00000032469|Dbr1
ENSMUSG00000003824|Syce2
ENSMUSG00000061062|Gm10093
