ENSMUSG00000063889|Crem
ENSMUSG00000062997|Rpl35
ENSMUSG00000015092|Edf1
ENSMUSG00000062006|Rpl34
ENSMUSG00000052748|Swt1
ENSMUSG00000024290|Rock1
ENSMUSG00000030682|Cdipt
ENSMUSG00000026111|Unc50
ENSMUSG00000059474|Mbtd1
ENSMUSG00000038085|Cnbd2
ENSMUSG00000036197|Gxylt1
