ENSMUSG00000053819|Camk2d
ENSMUSG00000035357|Pdzrn3
ENSMUSG00000019699|Akt3
ENSMUSG00000024019|Cmtr1
ENSMUSG00000029212|Gabrb1
ENSMUSG00000002459|Rgs20
ENSMUSG00000096974|Gm26881
ENSMUSG00000046961|Gpr156
ENSMUSG00000097156|Gm3764
ENSMUSG00000044968|Napepld
ENSMUSG00000042350|Arel1
