ENSMUSG00000020289|Nprl3
ENSMUSG00000035382|Pcsk7
ENSMUSG00000022048|Dpysl2
ENSMUSG00000002017|Fam98a
ENSMUSG00000042787|Exog
ENSMUSG00000028617|Lrrc42
ENSMUSG00000038023|Atp6v0a2
ENSMUSG00000015971|Actr8
ENSMUSG00000040964|Arhgef10l
ENSMUSG00000019831|Wasf1
ENSMUSG00000029729|Zkscan1
