ENSMUSG00000057176|Ccdc189
ENSMUSG00000039199|Zdhhc1
ENSMUSG00000033276|Stk36
ENSMUSG00000013155|Enkd1
ENSMUSG00000045275|Lca5l
ENSMUSG00000039835|Nhsl1
ENSMUSG00000086075|Gm15728
ENSMUSG00000000167|Pih1d2
ENSMUSG00000050271|Prag1
ENSMUSG00000035967|Ints6l
ENSMUSG00000037325|Bbs7
