ENSMUSG00000031150|Ccdc120
ENSMUSG00000040560|Wdr7
ENSMUSG00000045140|Pigw
ENSMUSG00000037151|Lrrc20
ENSMUSG00000022350|Washc5
ENSMUSG00000028879|Stx12
ENSMUSG00000024392|Bag6
ENSMUSG00000002844|Adprh
ENSMUSG00000029480|Dhx37
ENSMUSG00000034621|Gpatch8
ENSMUSG00000016495|Plgrkt
