ENSMUSG00000006169|Clint1
ENSMUSG00000018932|Map2k3
ENSMUSG00000004460|Dnajb11
ENSMUSG00000006673|Qrich1
ENSMUSG00000026753|Ppp6c
ENSMUSG00000025188|Hps1
ENSMUSG00000007827|Ankrd26
ENSMUSG00000018322|Tomm34
ENSMUSG00000033543|Gtf2a2
ENSMUSG00000027255|Arfgap2
ENSMUSG00000022905|Kpna1
