ENSMUSG00000022559|Fbxl6
ENSMUSG00000046096|Mosmo
ENSMUSG00000022601|Zbtb11
ENSMUSG00000029708|Gcc1
ENSMUSG00000032235|Ice2
ENSMUSG00000019461|Plscr3
ENSMUSG00000046311|Zfp62
ENSMUSG00000025470|Zfp511
ENSMUSG00000078931|Pdf
ENSMUSG00000048379|Socs4
ENSMUSG00000033237|Arid2
