ENSMUSG00000024646|Cyb5a
ENSMUSG00000073131|Vma21
ENSMUSG00000024594|Prrc1
ENSMUSG00000050148|Ubqln2
ENSMUSG00000011114|Tbrg1
ENSMUSG00000027879|Sec22b
ENSMUSG00000048076|Arf1
ENSMUSG00000038618|Rassf7
ENSMUSG00000053931|Cnn3
ENSMUSG00000031353|Rbbp7
ENSMUSG00000021928|Ebpl
