ENSMUSG00000015766|Eps8
ENSMUSG00000030894|Tpp1
ENSMUSG00000052248|Zeb2os
ENSMUSG00000022451|Twf1
ENSMUSG00000042684|Npl
ENSMUSG00000016534|Lamp2
ENSMUSG00000030272|Camk1
ENSMUSG00000039191|Rbpj
ENSMUSG00000040855|Reps2
ENSMUSG00000001999|Blvra
ENSMUSG00000031451|Gas6
