ENSMUSG00000004113|Cacna1b
ENSMUSG00000021608|Lpcat1
ENSMUSG00000045038|Prkce
ENSMUSG00000021983|Atp8a2
ENSMUSG00000022474|Pmm1
ENSMUSG00000022012|Enox1
ENSMUSG00000022208|Jph4
ENSMUSG00000038065|Mturn
ENSMUSG00000043463|Rab9b
ENSMUSG00000042766|Trim46
ENSMUSG00000041959|S100a10
