ENSMUSG00000026600|Soat1
ENSMUSG00000020098|Pcbd1
ENSMUSG00000032083|Apoa1
ENSMUSG00000073940|Hbb-bt
ENSMUSG00000069919|Hba-a1
ENSMUSG00000052305|Hbb-bs
ENSMUSG00000038893|Fam117a
ENSMUSG00000042066|Tmcc2
ENSMUSG00000027075|Slc43a1
ENSMUSG00000020309|Chac2
ENSMUSG00000031583|Wrn
