ENSMUSG00000060600|Eno3
ENSMUSG00000038132|Rbm24
ENSMUSG00000018339|Gpx3
ENSMUSG00000035232|Pdk3
ENSMUSG00000054640|Slc8a1
ENSMUSG00000019528|Gyg
ENSMUSG00000040653|Ppp1r14c
ENSMUSG00000025791|Pgm2
ENSMUSG00000021373|Cap2
ENSMUSG00000003955|Fam162a
ENSMUSG00000055447|Cd47
