ENSMUSG00000029518|Rab35
ENSMUSG00000025647|Shisa5
ENSMUSG00000018199|Trove2
ENSMUSG00000074030|Exoc8
ENSMUSG00000038145|Snrk
ENSMUSG00000043964|Orai3
ENSMUSG00000019984|Med23
ENSMUSG00000028466|Creb3
ENSMUSG00000038181|Chpf2
ENSMUSG00000020646|Mboat2
ENSMUSG00000020087|Tysnd1
