ENSMUSG00000029203|Ube2k
ENSMUSG00000040669|Phc1
ENSMUSG00000031432|Prps1
ENSMUSG00000030678|Maz
ENSMUSG00000031813|Mvb12a
ENSMUSG00000040782|Cop1
ENSMUSG00000031154|Otud5
ENSMUSG00000026974|Zmynd19
ENSMUSG00000037316|Bag4
ENSMUSG00000079478|Sssca1
ENSMUSG00000024181|Mrpl28
