ENSMUSG00000027122|Arl14ep
ENSMUSG00000042570|Mier2
ENSMUSG00000041219|Arhgap11a
ENSMUSG00000037628|Cdkn3
ENSMUSG00000038215|Cep44
ENSMUSG00000027330|Cdc25b
ENSMUSG00000047648|Fbxo30
ENSMUSG00000003198|Zfp959
ENSMUSG00000047583|Tyw3
ENSMUSG00000022827|Rabl3
ENSMUSG00000025280|Polr3a
