ENSMUSG00000042359|Osbpl6
ENSMUSG00000037138|Aff3
ENSMUSG00000068205|Macrod2
ENSMUSG00000033981|Gria2
ENSMUSG00000044647|Csrnp3
ENSMUSG00000054733|Msra
ENSMUSG00000032532|Cck
ENSMUSG00000041468|Gpr12
ENSMUSG00000041708|Mpped1
ENSMUSG00000027560|Dok5
ENSMUSG00000041324|Inhba
