ENSMUSG00000031828|Klhl36
ENSMUSG00000031862|Atp13a1
ENSMUSG00000038525|Armc10
ENSMUSG00000019917|Sept10
ENSMUSG00000021712|Trim23
ENSMUSG00000086350|B230369F24Rik
ENSMUSG00000020107|Anapc16
ENSMUSG00000037857|Nufip2
ENSMUSG00000038429|Usp5
ENSMUSG00000033075|Senp1
ENSMUSG00000029524|Sirt4
