ENSMUSG00000021720|Rnf180
ENSMUSG00000069171|Nr2f1
ENSMUSG00000031609|Sap30
ENSMUSG00000063281|Zfp35
ENSMUSG00000019803|Nr2e1
ENSMUSG00000047044|D030056L22Rik
ENSMUSG00000040151|Hs2st1
ENSMUSG00000038280|Ostm1
ENSMUSG00000021767|Kat6b
ENSMUSG00000055373|Fut9
ENSMUSG00000072476|Gm9008
