ENSMUSG00000031144|Syp
ENSMUSG00000019235|Rps6kl1
ENSMUSG00000026764|Kif5c
ENSMUSG00000038742|Angptl6
ENSMUSG00000025933|Tmem14a
ENSMUSG00000043290|Zfp784
ENSMUSG00000050373|Snx21
ENSMUSG00000067925|Rtl8a
ENSMUSG00000089889|0610040B10Rik
ENSMUSG00000087620|5330434G04Rik
ENSMUSG00000054013|Tmem179
