ENSMUSG00000045410|Akr1e1
ENSMUSG00000032463|Faim
ENSMUSG00000017837|Nkiras2
ENSMUSG00000029064|Gnb1
ENSMUSG00000014195|Dnajc7
ENSMUSG00000035725|Prkx
ENSMUSG00000026333|Gin1
ENSMUSG00000030032|Wdr54
ENSMUSG00000056698|Elmod3
ENSMUSG00000003500|Impdh1
ENSMUSG00000021710|Nln
