ENSMUSG00000044502|Bod1
ENSMUSG00000026803|Ttf1
ENSMUSG00000003123|Lipe
ENSMUSG00000006019|Dhx34
ENSMUSG00000039680|Mrps6
ENSMUSG00000001441|Npepps
ENSMUSG00000025764|Jade1
ENSMUSG00000033444|Specc1l
ENSMUSG00000026816|Gtf3c5
ENSMUSG00000017639|Rab11fip4
ENSMUSG00000041264|Uspl1
