ENSMUSG00000008763|Man1a2
ENSMUSG00000010914|Pdhx
ENSMUSG00000029416|Slc15a4
ENSMUSG00000020458|Rtn4
ENSMUSG00000020536|Llgl1
ENSMUSG00000049807|Arhgap23
ENSMUSG00000038481|Cdk19
ENSMUSG00000073643|Wdfy1
ENSMUSG00000073460|Pnldc1
ENSMUSG00000026074|Map4k4
ENSMUSG00000031605|Klhl2
