ENSMUSG00000038305|Spats2l
ENSMUSG00000049422|Chchd10
ENSMUSG00000045259|Klhdc9
ENSMUSG00000001948|Spa17
ENSMUSG00000038267|Slc22a23
ENSMUSG00000115263|AC154683.1
ENSMUSG00000049904|Tmem17
ENSMUSG00000000567|Sox9
ENSMUSG00000003534|Ddr1
ENSMUSG00000048416|Mlf1
ENSMUSG00000035246|Pcyt1b
