ENSMUSG00000043857|Mgat5b
ENSMUSG00000025876|Unc5a
ENSMUSG00000039097|Rln1
ENSMUSG00000044548|Dact1
ENSMUSG00000029189|Sel1l3
ENSMUSG00000020326|Ccng1
ENSMUSG00000035033|Tbr1
ENSMUSG00000039578|Ccser1
ENSMUSG00000024480|Ap3s1
ENSMUSG00000031626|Sorbs2
ENSMUSG00000028148|Them5
