ENSMUSG00000043885|Slc36a4
ENSMUSG00000010154|Spire2
ENSMUSG00000058900|Rsl1
ENSMUSG00000078794|Dact3
ENSMUSG00000027350|Chgb
ENSMUSG00000044528|Tram1l1
ENSMUSG00000041272|Tox
ENSMUSG00000085946|AA387200
ENSMUSG00000094936|Rbm4
ENSMUSG00000011427|Zfp790
ENSMUSG00000102252|Snrpn
