ENSMUSG00000021670|Hmgcr
ENSMUSG00000032086|Bace1
ENSMUSG00000001687|Ubl3
ENSMUSG00000051615|Rap2a
ENSMUSG00000021143|Pacs2
ENSMUSG00000071073|Lrrc73
ENSMUSG00000035828|Pim3
ENSMUSG00000069662|Marcks
ENSMUSG00000069520|Tmem19
ENSMUSG00000059183|Mtfmt
ENSMUSG00000025511|Tspan4
