ENSMUSG00000001472|Tcf25
ENSMUSG00000025499|Hras
ENSMUSG00000029221|Slc30a9
ENSMUSG00000015094|Npdc1
ENSMUSG00000037190|Cyb561d2
ENSMUSG00000061981|Flot2
ENSMUSG00000020267|Hint1
ENSMUSG00000020070|Rufy2
ENSMUSG00000026810|Dpm2
ENSMUSG00000032112|Trappc4
