ENSMUSG00000026443|Lrrn2
ENSMUSG00000042700|Sipa1l1
ENSMUSG00000044813|Shb
ENSMUSG00000024143|Rhoq
ENSMUSG00000066357|Wdr6
ENSMUSG00000035392|Dennd1a
ENSMUSG00000032531|Amotl2
ENSMUSG00000031790|Mmp15
ENSMUSG00000018476|Kdm6b
ENSMUSG00000101609|Kcnq1ot1
