ENSMUSG00000037736|Limch1
ENSMUSG00000115249|Gm49085
ENSMUSG00000110862|Gm35835
ENSMUSG00000035901|Dennd5a
ENSMUSG00000032578|Cish
ENSMUSG00000037824|Tspan14
ENSMUSG00000042548|Asxl1
ENSMUSG00000033632|AW554918
ENSMUSG00000030283|St8sia1
ENSMUSG00000022793|B4galt4
