ENSMUSG00000024993|Fam45a
ENSMUSG00000061119|Prcp
ENSMUSG00000039852|Rere
ENSMUSG00000041763|Tpp2
ENSMUSG00000024248|Cox7a2l
ENSMUSG00000031229|Atrx
ENSMUSG00000072872|Rybp
ENSMUSG00000024286|Ccny
ENSMUSG00000020900|Myh10
ENSMUSG00000068240|Gm11808
