ENSMUSG00000038502|Ptov1
ENSMUSG00000021932|Rnaseh2b
ENSMUSG00000021811|Dnajc9
ENSMUSG00000029823|Luc7l2
ENSMUSG00000023104|Rfc2
ENSMUSG00000038482|Tfdp1
ENSMUSG00000030726|Pold3
ENSMUSG00000038671|Arfrp1
ENSMUSG00000016477|E2f3
ENSMUSG00000028218|Fam92a
