ENSMUSG00000058594|Fbxo18
ENSMUSG00000011096|Akt1s1
ENSMUSG00000029076|Sdf4
ENSMUSG00000045078|Rnf216
ENSMUSG00000038398|Upf3a
ENSMUSG00000023952|Gtpbp2
ENSMUSG00000029030|Tprgl
ENSMUSG00000025745|Hadha
ENSMUSG00000038990|Cables2
ENSMUSG00000025825|Iscu
