ENSMUSG00000021258|Ccnk
ENSMUSG00000030768|Disp1
ENSMUSG00000039967|Zfp292
ENSMUSG00000026849|Tor1a
ENSMUSG00000026848|Tor1b
ENSMUSG00000030314|Atg7
ENSMUSG00000042015|Wdr41
ENSMUSG00000026388|3110009E18Rik
ENSMUSG00000026771|Spopl
ENSMUSG00000031982|Arv1
