ENSMUSG00000051515|Fam181b
ENSMUSG00000025353|Ormdl2
ENSMUSG00000023852|Chd1
ENSMUSG00000040204|Pclaf
ENSMUSG00000029404|Arl6ip4
ENSMUSG00000048668|Rhno1
ENSMUSG00000027167|Elp4
ENSMUSG00000021144|Mta1
ENSMUSG00000020623|Map2k6
ENSMUSG00000032555|Topbp1
