ENSMUSG00000089832|Shkbp1
ENSMUSG00000030008|Pradc1
ENSMUSG00000001632|Brpf1
ENSMUSG00000028706|Nsun4
ENSMUSG00000038563|Efl1
ENSMUSG00000019774|Mtrf1l
ENSMUSG00000021629|Slc30a5
ENSMUSG00000070284|Gmppb
ENSMUSG00000006169|Clint1
ENSMUSG00000018932|Map2k3
