ENSMUSG00000020519|Sap30l
ENSMUSG00000013160|Atp6v0d1
ENSMUSG00000034175|Rhbdd3
ENSMUSG00000036046|5031439G07Rik
ENSMUSG00000024283|Wac
ENSMUSG00000032118|Fez1
ENSMUSG00000055204|Ankrd17
ENSMUSG00000044629|Cnrip1
ENSMUSG00000013033|Adgrl1
ENSMUSG00000001062|Vps9d1
