ENSMUSG00000028640|Tfap2c
ENSMUSG00000028885|Smpdl3b
ENSMUSG00000020766|Galk1
ENSMUSG00000028228|Cpne3
ENSMUSG00000017009|Sdc4
ENSMUSG00000038028|Tigar
ENSMUSG00000020534|Shmt1
ENSMUSG00000022814|Umps
ENSMUSG00000028527|Ak4
ENSMUSG00000022849|Hspbap1
