ENSMUSG00000063160|Numbl
ENSMUSG00000048904|Neurog1
ENSMUSG00000038296|Galnt18
ENSMUSG00000032411|Tfdp2
ENSMUSG00000005917|Otx1
ENSMUSG00000028420|Tmem38b
ENSMUSG00000052512|Nav2
ENSMUSG00000039481|Nrtn
ENSMUSG00000029762|Akr1b8
ENSMUSG00000051166|Eml5
