ENSMUSG00000013701|Timm23
ENSMUSG00000021488|Nsd1
ENSMUSG00000038722|Bud31
ENSMUSG00000042133|Ppig
ENSMUSG00000008668|Rps18
ENSMUSG00000029110|Rnf4
ENSMUSG00000071645|Tut1
ENSMUSG00000020974|Pole2
ENSMUSG00000001440|Kpnb1
ENSMUSG00000028044|Cks1b
