ENSMUSG00000030091|Nup210
ENSMUSG00000030084|Plxna1
ENSMUSG00000050822|Slc29a4
ENSMUSG00000063760|Rnf217
ENSMUSG00000032220|Myo1e
ENSMUSG00000032064|Dixdc1
ENSMUSG00000028833|Ncdn
ENSMUSG00000027298|Tyro3
ENSMUSG00000045659|Plekha7
ENSMUSG00000032402|Smad3
