ENSMUSG00000024163|Mapk8ip3
ENSMUSG00000027164|Traf6
ENSMUSG00000040321|Zfp770
ENSMUSG00000025261|Huwe1
ENSMUSG00000038417|Fig4
ENSMUSG00000038425|Poli
ENSMUSG00000028292|Rars2
ENSMUSG00000038102|Trappc11
ENSMUSG00000058301|Upf1
ENSMUSG00000043183|Simc1
