ENSMUSG00000022816|Fstl1
ENSMUSG00000030351|Tspan11
ENSMUSG00000073889|Il11ra1
ENSMUSG00000006641|Slc5a6
ENSMUSG00000028226|Mmp16
ENSMUSG00000004791|Pgf
ENSMUSG00000027962|Vcam1
ENSMUSG00000024909|Efemp2
ENSMUSG00000022321|Cdh10
ENSMUSG00000031379|Pir
