ENSMUSG00000045103|Dmd
ENSMUSG00000027907|S100a11
ENSMUSG00000031328|Flna
ENSMUSG00000016382|Pls3
ENSMUSG00000078202|Nrarp
ENSMUSG00000067818|Myl9
ENSMUSG00000037148|Arhgap10
ENSMUSG00000029544|Cabp1
ENSMUSG00000037060|Cavin3
ENSMUSG00000001630|Stk38l
