ENSMUSG00000024597|Slc12a2
ENSMUSG00000025545|Clybl
ENSMUSG00000022037|Clu
ENSMUSG00000033429|Mcee
ENSMUSG00000019894|Slc6a15
ENSMUSG00000108435|Gm45051
ENSMUSG00000097121|D130020L05Rik
ENSMUSG00000045284|Dcaf12l1
ENSMUSG00000031767|Nudt7
ENSMUSG00000030284|Creld1
