ENSMUSG00000036615|Rfxap
ENSMUSG00000074227|Spint2
ENSMUSG00000022893|Adamts1
ENSMUSG00000097187|Gm19426
ENSMUSG00000022788|Fgd4
ENSMUSG00000010362|Rdm1
ENSMUSG00000031555|Adam9
ENSMUSG00000038967|Pdk2
ENSMUSG00000028583|Pdpn
ENSMUSG00000018425|Dhx40
