ENSMUSG00000003206|Ebi3
ENSMUSG00000041058|Wwp1
ENSMUSG00000005656|Snx6
ENSMUSG00000060147|Serpinb6a
ENSMUSG00000040774|Cept1
ENSMUSG00000026482|Rgl1
ENSMUSG00000036636|Clcn7
ENSMUSG00000038371|Sbf2
ENSMUSG00000034928|Rnf44
ENSMUSG00000072889|Nfxl1
