ENSMUSG00000039176|Polg
ENSMUSG00000046550|Spin2c
ENSMUSG00000021240|Abcd4
ENSMUSG00000022346|Myc
ENSMUSG00000042515|Mum1l1
ENSMUSG00000021569|Trip13
ENSMUSG00000022641|Bbx
ENSMUSG00000000561|Wdr77
ENSMUSG00000053801|Grwd1
ENSMUSG00000006732|Mettl1
