ENSMUSG00000071454|Dtnb
ENSMUSG00000027475|Kif3b
ENSMUSG00000063382|Bcl9l
ENSMUSG00000013419|Zfp651
ENSMUSG00000030082|Sec61a1
ENSMUSG00000030536|Iqgap1
ENSMUSG00000042203|Tbc1d22b
ENSMUSG00000036792|Mbd5
ENSMUSG00000001052|Sec24b
ENSMUSG00000039477|Tnrc18
