ENSMUSG00000042734|Ttc9
ENSMUSG00000047787|Flrt1
ENSMUSG00000038042|Ptpdc1
ENSMUSG00000032346|Ooep
ENSMUSG00000054920|Klhl5
ENSMUSG00000074807|Gm10762
ENSMUSG00000035285|Nat14
ENSMUSG00000048550|Thnsl1
ENSMUSG00000048100|Taf13
ENSMUSG00000032177|Pde4a
