ENSMUSG00000027185|Nat10
ENSMUSG00000028729|Ebna1bp2
ENSMUSG00000003119|Cdk12
ENSMUSG00000004937|Sgta
ENSMUSG00000031960|Aars
ENSMUSG00000030609|Aen
ENSMUSG00000030870|Ubfd1
ENSMUSG00000014551|Mrps25
ENSMUSG00000013736|Trnt1
ENSMUSG00000018446|C1qbp
