ENSMUSG00000028692|Akr1a1
ENSMUSG00000020605|Hs1bp3
ENSMUSG00000025464|Paox
ENSMUSG00000034484|Snx2
ENSMUSG00000028382|Ptbp3
ENSMUSG00000036622|Atp13a2
ENSMUSG00000026972|Arrdc1
ENSMUSG00000030541|Idh2
ENSMUSG00000107002|0610012G03Rik
ENSMUSG00000027775|Mfsd1
